営業, インターネットサービス, 海外法人への商材営業、コンサルティング, ビジネスレベル英語, 粘り強さ、体力
エンジニア, 製造業, 製造ラインの制御、異常検知システムの開発, ITパスポート, 吸収力
データサイエンティスト, 金融, 新商材の開発に伴うリスクやリターンの算出, 統計検定一級, リサーチ力、数理的センス
マーケティング, 広告, 広告キャンペーンの企画・実行、効果測定, Google Analytics認定, 分析力、戦略的思考
プロジェクトマネージャー, 建設業, 工事進捗管理、コスト管理, PMP資格, 調整力、リーダーシップ
カスタマーサポート, IT, 顧客対応、トラブルシューティング, カスタマーサポート経験, 問題解決力、柔軟性
コンサルタント, 経営コンサルティング, 企業戦略の立案、業務改善支援, MBA, 論理的思考、対話力
デザイナー, アパレル, 商品企画、ブランドデザイン, Adobe Photoshop, 色彩感覚、創造力
プロダクトマネージャー, EC, 商品開発、販売計画の策定, マーケティング知識, 消費者理解、リーダーシップ
システムエンジニア, 通信, サーバー構築、ネットワーク管理, 基本情報技術者, 技術力、迅速な対応力
人事, 人材サービス, 採用業務、社員教育, 社労士資格, 聞き取り力、組織理解力
アナリスト, 製薬, 市場調査、データ解析, データ分析スキル, 細部への注意、分析力
セールスマネージャー, 小売業, 販売戦略の立案、チームマネジメント, 営業経験10年, チームワーク、指導力
ITコンサルタント, ソフトウェア, クラウド導入支援、セキュリティ対策, AWS資格, クラウド知識、問題解決力
プランナー, 広告代理店, 広告企画立案、プレゼンテーション, プレゼンテーションスキル, 独創力、柔軟な思考
営業企画, 製造業, 販促活動の企画、顧客管理, 財務知識, 調整力、経営視点
サポートエンジニア, セキュリティ, セキュリティ製品の導入支援、技術サポート, ネットワーク関連資格, 技術対応力、冷静さ
データエンジニア, 金融, データベース構築、ETL処理, SQL, データ処理スキル、解析力
経理, 製造業, 月次決算業務、予算管理, 簿記2級, 数字管理、注意深さ
法務, 金融, 契約書レビュー、法的アドバイス, 司法書士資格, 法律知識、交渉力
物流管理, 運輸業, 配送計画の立案、在庫管理, 倉庫管理経験, 効率性、計画力
コンテンツマーケティング, メディア, コンテンツ企画、SEO対策, SEO知識, 文章力、企画力
コールセンター管理, 通信, コールセンターの運営管理、教育, 電話応対スキル, 忍耐力、指導力
ITサポート, 教育, 学内システムのサポート、ユーザー教育, 基本情報処理資格, 学びの意欲、サポート力
UXデザイナー, ソフトウェア, ユーザー調査、インターフェース設計, HCD資格, 利用者視点、デザイン力
エネルギーアナリスト, エネルギー業界, エネルギー使用の分析、効率改善提案, エネルギー管理士, 分析力、環境意識
研究開発, 化学, 新材料の開発、試験評価, 化学技術士, 理論構築力、実験力
ビジネスアナリスト, 金融, 業務フロー分析、改善提案, ビジネス分析スキル, 論理性、プレゼン力
通訳, 貿易, 海外企業との商談通訳、文書翻訳, 英語通訳資格, 言語力、文化理解
オペレーションマネージャー, 医療, 業務フロー管理、資材調達, 医療事務経験, 調整力、問題解決力
調達, 製造業, 仕入れ業務、コスト削減交渉, 仕入れ知識, 価格交渉力、分析力
販売促進, 小売, 販売イベントの企画、実施, 販促経験, 顧客対応力、創意工夫
情報セキュリティ, IT, 社内情報セキュリティの強化、リスク評価, 情報セキュリティスペシャリスト, リスク管理、分析力
広報, 教育, プレスリリース作成、メディア対応, プレスリリース作成スキル, コミュニケーション力、組織理解
リサーチャー, 環境, 環境影響調査、データ分析, 環境調査士, 調査力、環境意識
サプライチェーン管理, 製造業, 物流の最適化、在庫管理, ロジスティクス管理経験, 効率性、計画力
ファイナンシャルプランナー, 金融, 資産運用の提案、顧客相談, FP2級, 財務知識、アドバイス力
アプリケーションエンジニア, ソフトウェア, システム開発、プログラム実装, プログラミングスキル, 問題解決力、革新力
コンテンツライター, 広告, 記事執筆、編集, 文章力, 表現力、企画力
薬剤師, 医療, 調剤業務、薬歴管理, 薬剤師免許, 注意深さ、コミュニケーション力
受付, 医療, 来客対応、予約管理, 接客経験, 明るさ、対話力
デジタルマーケティング, メディア, 広告運用、分析レポート作成, Google AdWords, 戦略的思考、分析力
パートナーシップマネージャー, IT, 提携先との交渉、関係構築, 関係構築スキル, 対話力、柔軟性
設計エンジニア, 機械, CAD設計、図面作成, CAD資格, 創意工夫、精密さ
プロパティマネージャー, 不動産, 建物管理、テナント対応, 賃貸管理資格, 調整力、責任感
ゲームプランナー, エンターテインメント, ゲームコンセプト企画、スクリプト作成, ゲーム制作経験, 創造力、構成力
エディター, 出版, 書籍編集、校正, 編集スキル, 校正力、文章力
金融アナリスト, 金融, 資産分析、投資判断サポート, CFA資格, 分析力、数理的思考
法人営業, 金融, 法人顧客への資産管理提案、商談対応, 営業経験, 対話力、
