index,package_name,repo_id,filename,result,time
1,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""company_name"": ""ひめっち"",
  ""description"": ""ひめっちは、日本を拠点に革新的なデジタルサービスとソリューションを提供する企業です。テクノロジーとユーザー中心のアプローチを組み合わせ、個人や企業の生産性と効率を向上させる目的で、さまざまな業界に対してソフトウェア開発、クラウドサービス、AI技術を活用したサービスを展開しています。また、顧客のニーズに合わせたカスタマイズ可能なソリューションを提供し、継続的な改善と革新により、信頼性と実績を重視しています。""
}",47.25
2,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""query"": ""ひめっちの所属しているユニットを教えてください"",
  ""response"": ""ひめっちは、日本の音楽ユニットであるザ・ヒメチ。""
}
",10.32
3,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""response"": ""ひめっちには、細やかな心や親しみやすさ、そして優しさが際立っています。これらの性質は、彼女のコミュニケーション能力やチームワークにおいて非常に価値があります。彼女の特徴を活かし、彼女の強みを職業的な成長やキャリアプランにどのように組み込むかを検討することが、転職支援において重要です。""
}
",27.28
index,package_name,repo_id,filename,result,time
index,package_name,repo_id,filename,result,time
1,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""company_name"": ""ひめっち"",
  ""description"": ""ひめっちは、日本を拠点に革新的なデジタルサービスとソリューションを提供する企業です。テクノロジーとユーザー中心のアプローチを組み合わせ、個人や企業の生産性と効率を向上させる目的で、さまざまな業界に対してソフトウェア開発、クラウドサービス、AI技術を活用したサービスを展開しています。また、顧客のニーズに合わせたカスタマイズ可能なソリューションを提供し、継続的な改善と革新により、信頼性と実績を重視しています。""
}",47.75
2,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""query"": ""ひめっちの所属しているユニットを教えてください"",
  ""response"": ""ひめっちは、日本の音楽ユニットであるザ・ヒメチ。""
}
",10.36
3,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""response"": ""ひめっちには、細やかな心や親しみやすさ、そして優しさが際立っています。これらの性質は、彼女のコミュニケーション能力やチームワークにおいて非常に価値があります。彼女の特徴を活かし、彼女の強みを職業的な成長やキャリアプランにどのように組み込むかを検討することが、転職支援において重要です。""
}
",27.67
index,package_name,repo_id,filename,result,time
index,package_name,repo_id,filename,result,time
1,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""company_name"": ""ひめっち"",
  ""description"": ""ひめっちは、日本を拠点に展開する、スタートアップ企業で、ユーザー中心のサービスと技術を提供しています。特に、AIやデータ分析を活用したソリューションを専門とし、企業の効率化や革新を支援することで知られています。以下は主要な情報です：""
}
",42.42
2,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""query"": ""ひめっちの所属しているユニットを教えてください"",
  ""response"": ""ひめっちは、日本のフリーランスエンジニアリングサービスの会社である株式会社ヒメツキエンジニアリングに所属しています。""
}
",14.19
3,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""response"": ""ひめっちは、親しみやすい表情と微笑みが特徴の可愛いキャラクターです。また、ユーモアと純粋な心を持っていることで、多くの人に愛されています。転職活動においては、コミュニケーション能力と人とのつながりを大切にする姿勢をアピールすることで、相手に共感を呼び起こし、チームに貢献しやすい人物として認識してもらうことができるでしょう。""
}
",27.30
index,package_name,repo_id,filename,result,time
1,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""company_name"": ""ひめっち"",
  ""description"": ""ひめっちは、日本を拠点に展開する、スタートアップ企業で、ユーザー中心のサービスと技術を提供しています。特に、AIやデータ分析を活用したソリューションを専門とし、企業の効率化や革新を支援することで知られています。以下は主要な情報です：""
}
",42.30
2,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""query"": ""ひめっちの所属しているユニットを教えてください"",
  ""response"": ""ひめっちは、日本のフリーランスエンジニアリングサービスの会社である株式会社ヒメツキエンジニアリングに所属しています。""
}
",14.27
3,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""response"": ""ひめっちは、親しみやすい表情と微笑みが特徴の可愛いキャラクターです。また、ユーモアと純粋な心を持っていることで、多くの人に愛されています。転職活動においては、コミュニケーション能力と人とのつながりを大切にする姿勢をアピールすることで、相手に共感を呼び起こし、チームに貢献しやすい人物として認識してもらうことができるでしょう。""
}
",28.22
index,package_name,repo_id,filename,result,time
1,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""company_name"": ""ひめっち"",
  ""description"": ""ひめっちは、日本を拠点にオンラインストアを展開するEC（電子商取引）プラットフォームを提供する企業です。個人や法人向けに幅広い商品を取り扱い、即時配送や異なる支払い方法を備えています。顧客サービスにも力を入れており、カスタマイズや質問への回答など、顧客満足度を高めるための様々なサポートを提供しています。また、技術革新を積極的に取り入れ、ユーザーインターフェースの改善や機能強化を行っていることで、市場での競争力を維持しています。""
}
",7.26
2,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""query"": ""ひめっちの所属しているユニットを教えてください"",
  ""response"": ""ひめっちは、株式会社ユニットリビングズに所属しています。""
}
",1.65
3,lamma_cpp_gpu,QuantFactory/Borea-Phi-3.5-mini-Instruct-Jp-GGUF,Borea-Phi-3.5-mini-Instruct-Jp.Q6_K.gguf,"{
  ""instruction"": ""ひめっちの魅力的な特徴を詳細に教えてください"",
  ""output"": {
    ""ひめっちの魅力"": [
      ""ユニークなデザインとカラフルなパレット"",
      ""親しみやすい店舗雰囲気"",
      ""専門的な知識に基づいた丁寧なサービス"",
      ""地元の食材を使った新鮮な料理"",
      ""多様な顧客に対応する包括的な商品ラインナップ""
    ]
  }
}
",4.69
